region,year,quarter,gdp
Argentina,2011,3,7119.88418975106
Argentina,2011,4,7401.994556389649
Argentina,2012,1,7420.665495079829
Argentina,2012,2,8387.29975255165
Argentina,2012,3,8557.284513878729
Argentina,2012,4,9017.10541659725
Argentina,2013,1,9139.891452132839
Argentina,2013,2,10718.043876360589
Argentina,2013,3,10872.229080310219
Argentina,2013,4,11642.11487289263
Argentina,2014,1,12394.296555926738
Argentina,2014,2,14877.746533859578
Argentina,2014,3,14823.563606452859
Argentina,2014,4,15851.961035519698
Argentina,2015,1,16111.795101916778
Argentina,2015,2,18828.740645029487
Argentina,2015,3,19683.739039176588
Argentina,2015,4,20729.05850919267
Argentina,2016,1,22166.978946903208
Argentina,2016,2,26621.19876803947
Argentina,2016,3,26978.92681601824
Argentina,2016,4,28358.8704077784
Argentina,2017,1,29235.437697074976
Argentina,2017,2,33403.08758888157
Argentina,2017,3,35169.11364452752
Argentina,2017,4,37095.758620559376
Argentina,2018,1,38721.17937215297
Argentina,2018,2,44399.649125161115
Argentina,2018,3,47829.327444449526
Argentina,2018,4,53085.54469360695
Argentina,2019,1,55086.840521837104
Argentina,2019,2,66152.1367764952
Argentina,2019,3,70510.36590273745
Argentina,2019,4,79661.99471127204
Argentina,2020,1,78432.22094536311
Argentina,2020,2,74708.84169908208
Brazil,2011,1,179084.235626712
Brazil,2011,2,191448.24523019203
Brazil,2011,3,195962.051695664
Brazil,2011,4,204501.08704087202
Brazil,2012,1,198981.321295008
Brazil,2012,2,208433.24429527202
Brazil,2012,3,216770.545174888
Brazil,2012,4,224040.40277403203
Brazil,2013,1,218738.89641985603
Brazil,2013,2,233002.761625808
Brazil,2013,3,238560.245779744
Brazil,2013,4,248979.65211307202
Brazil,2014,1,244164.662133168
Brazil,2014,2,250567.26060453602
Brazil,2014,3,257585.59755349602
Brazil,2014,4,265771.72530856
Brazil,2015,1,256653.73618265602
Brazil,2015,2,260757.502504328
Brazil,2015,3,265705.960330824
Brazil,2015,4,273172.126300424
Brazil,2016,1,264166.81673455203
Brazil,2016,2,274526.16606035206
Brazil,2016,3,277862.63320165605
Brazil,2016,4,287923.952490392
Brazil,2017,1,279974.952139648
Brazil,2017,2,287803.486131496
Brazil,2017,3,290274.966762792
Brazil,2017,4,301742.543168544
Brazil,2018,1,292063.72835251206
Brazil,2018,2,300320.677219416
Brazil,2018,3,305999.1738652
Brazil,2018,4,315295.78370079206
Brazil,2019,1,304016.46460875205
Brazil,2019,2,316370.555733136
Brazil,2019,3,324631.90889804
Brazil,2019,4,333447.56939203205
Brazil,2020,1,317712.14013832004
Brazil,2020,2,291203.586570304
Chile,2011,1,39691.309405800246
Chile,2011,2,39736.304667725046
Chile,2011,3,38264.46655640832
Chile,2011,4,43192.27519531992
Chile,2012,1,42032.08828279584
Chile,2012,2,42344.53713805464
Chile,2012,3,40894.60378888368
Chile,2012,4,46084.92527183616
Chile,2013,1,43797.14960549688
