region,year,household_savings,gdp,household_debt
Chile,2016,10.6934361193999,22624.825752,66.7355
Chile,2017,9.80927415193422,23597.457218,70.21909000000001
Chile,2018,9.6137207600003,24710.818531999998,72.96001
Estonia,2000,0.017896557895365,9408.179591,20.173029999999997
Estonia,2001,-2.20747598533701,10292.284396,24.23659
Estonia,2002,-10.461734693877599,11635.368438,33.01303
Estonia,2003,-9.701407681986671,13080.28669,41.94959
Estonia,2004,-11.233666015022099,14481.498228999999,52.42507
Estonia,2005,-9.200220236932312,16574.460822,68.93932
Estonia,2006,-8.12108497813497,19254.394629,89.46101
Estonia,2007,-7.195082254550919,22131.996156,102.87200000000001
Estonia,2008,2.8912854677176405,22807.728472,98.01507
Estonia,2009,7.415115949703809,20595.260959,104.7168
Estonia,2010,3.61992077530581,21779.592368,104.0358
Estonia,2011,4.57521522428636,24735.346663,93.10143000000001
Estonia,2012,0.71724646802231,26141.083529,89.17227
Estonia,2013,2.5372404641463904,27596.458608999998,83.06567
Estonia,2014,4.1359533659270395,29107.89112,81.38665
Estonia,2015,5.676438576775709,29444.318327999998,80.22324
Estonia,2016,5.75331195325487,31571.257533999997,80.78811999999999
Estonia,2017,6.40682476324646,33983.453381,80.68993
Estonia,2018,7.39276480236064,36299.86464,78.53987
Russian Federation,2011,3.7430269364799797,22798.673917,22.84296
Russian Federation,2012,3.54421435765347,24303.491049,26.635040000000004
Russian Federation,2013,3.9759224186312,26073.873547,30.453440000000004
Russian Federation,2014,4.14866424124492,25761.661509999998,30.6166
Russian Federation,2015,9.206052135947118,24085.312853,29.68735
Russian Federation,2016,9.51221496549684,24125.394343,28.84127
Russian Federation,2017,8.71264478694349,26005.967564,30.246270000000003
Russian Federation,2018,7.348028409113951,28763.522294,33.78273
Slovenia,2000,6.85664354682776,18003.711413999998,34.07442
Slovenia,2001,8.16574820634394,18957.335773,33.8493
Slovenia,2002,8.901947743601811,20236.432071,34.063759999999995
Slovenia,2003,6.237491261360231,21083.556748,36.01576
Slovenia,2004,6.77230791607213,22737.360848,36.8505
Slovenia,2005,9.27180754382978,23848.602419,40.84766
Slovenia,2006,10.559318480239401,25676.869394999998,45.41596
